ID,Name,Equipment,BodyPart,Target,Synergist,URL
3765,Jump Step-Up (male),Body weight,Cardio,,,https://www.gymvisual.com/illustrations/8704-jump-step-up-male.html
3766,Dumbbell Single Leg Squat (VERSION 2) (female),Dumbbell,"Hips, Thighs",,,https://www.gymvisual.com/illustrations/8705-dumbbell-single-leg-squat-version-2-female.html
3767,Dumbbell Single Leg Squat (VERSION 2) (male),Dumbbell,"Hips, Thighs",,,https://www.gymvisual.com/illustrations/8706-dumbbell-single-leg-squat-version-2-male.html
3768,Lever Seated Horizontal Leg Press,Leverage machine,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8726-lever-seated-horizontal-leg-press.html
3769,Curtsey Squat,Body weight,"Hips, Thighs","Gluteus Medius, Gluteus Minimus, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Iliopsoas, Pectineous, Sartorius",https://www.gymvisual.com/illustrations/8727-curtsey-squat.html
3770,Band Squat with Single Arm Row,Band,"Back, Thighs",,,https://www.gymvisual.com/illustrations/8732-band-squat-with-single-arm-row.html
3771,Band Deadlift with Single Arm Row,Band,"Back, Hips, Thighs",,,https://www.gymvisual.com/illustrations/8733-band-deadlift-with-single-arm-row.html
3772,Band High Knee Lunge with Single Arm Row,Band,"Back, Hips, Thighs",,,https://www.gymvisual.com/illustrations/8734-band-high-knee-lunge-with-single-arm-row.html
3773,Band Single Stiff Leg Deadlift with Single Arm Row,Band,"Back, Hips, Thighs",,,https://www.gymvisual.com/illustrations/8735-band-single-stiff-leg-deadlift-with-single-arm-row.html
3774,Band Squat with Horizontal Pallof Hold,Band,"Hips, Thighs, Waist",,,https://www.gymvisual.com/illustrations/8736-band-squat-with-horizontal-pallof-hold.html
3775,Band Split Squat with Horizontal Pallof Hold,Band,"Hips, Thighs, Waist",,,https://www.gymvisual.com/illustrations/8737-band-split-squat-with-horizontal-pallof-hold.html
3776,Band Side Step with Horizontal Pallof Hold,Band,Hips,,,https://www.gymvisual.com/illustrations/8738-band-side-step-with-horizontal-pallof-hold.html
3777,Band Front Plank with Single Arm Pulldown,Band,"Back, Waist",,,https://www.gymvisual.com/illustrations/8739-band-front-plank-with-single-arm-pulldown.html
3778,Band Upper Body Lying Air Bike,Band,"Hips, Waist",,,https://www.gymvisual.com/illustrations/8740-band-upper-body-lying-air-bike.html
3779,Band Skier,Band,Back,,,https://www.gymvisual.com/illustrations/8741-band-skier.html
3780,Band Standing Chest Press (male),Band,Chest,,,https://www.gymvisual.com/illustrations/8742-band-standing-chest-press-male.html
3781,Band Split Jump with Single Arm Row,Band,"Back, Hips, Thighs",,,https://www.gymvisual.com/illustrations/8743-band-split-jump-with-single-arm-row.html
3782,Band Jump Lunge with Single Arm Row,Band,"Back, Hips, Thighs",,,https://www.gymvisual.com/illustrations/8744-band-jump-lunge-with-single-arm-row.html
3783,Dumbbell Archer,Dumbbell,Shoulders,,,https://www.gymvisual.com/illustrations/8745-dumbbell-archer.html
3784,Cross Arms Push-up,Body weight,Upper Arms,Triceps Brachii,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/8746-cross-arms-push-up.html
3785,Incline Push-Up (on box),Body weight,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8752-incline-push-up-on-box.html
3799,Dumbbell Bent Over Reverse Row,Dumbbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/9029-dumbbell-bent-over-reverse-row.html
3837,Otis-Up (female),Weighted,"Hips, Shoulders, Waist","Deltoid Anterior, Iliopsoas, Rectus Abdominis","Deltoid Lateral, Obliques, Pectoralis Major Clavicular Head, Quadriceps, Sartorius, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/9030-otis-up-female.html
3838,Crunch (on bench) (male),Body weight,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/9031-crunch-on-bench-male.html
3839,Band Standing Crunch (female),Band,Waist,,,https://www.gymvisual.com/illustrations/9032-band-standing-crunch-female.html
3840,Band Decline Sit up (female),Band,"Hips, Waist","Iliopsoas, Rectus Abdominis","Obliques, Quadriceps, Sartorius",https://www.gymvisual.com/illustrations/9033-band-decline-sit-up-female.html
3841,Band Side Bend (male),Band,Waist,Obliques,,https://www.gymvisual.com/illustrations/9034-band-side-bend-male.html
3842,Band Kneeling One Arm Pulldown (female),Band,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/9035-band-kneeling-one-arm-pulldown-female.html
3843,Band One Arm Twisting Seated Row (female),Band,"Back, Waist","Infraspinatus, Latissimus Dorsi, Obliques, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/9036-band-one-arm-twisting-seated-row-female.html
